AF_ID,Author_ID,Paper_ID,publication_affiliation,keywords in title bool,results
1.87E+02,37386999400,175800,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",TRUE,Academic Institution
1.88E+02,37301346300,175800,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",TRUE,Academic Institution
1.89E+02,37377532500,175800,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",TRUE,Academic Institution
1.90E+02,37378970600,175800,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",TRUE,Academic Institution
1.91E+02,38161624900,175800,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",TRUE,Academic Institution
1.92E+02,37064514200,175806,"Institute of Systems Science, National University of Singapore, Singapore",TRUE,Academic Institution
1.93E+02,38225641700,175806,"Institute of Systems Science, National University of Singapore, Singapore",TRUE,Academic Institution
1.94E+02,38165288100,175809,"Institute for Visualization and Perception Research, Computer Science Department, University of Lowell, Lowell, MA, USA",TRUE,Academic Institution
1.95E+02,37360588500,175809,"Institute for Visualization and Perception Research, Computer Science Department, University of Lowell, Lowell, MA, USA",TRUE,Academic Institution
1.96E+02,38227675400,175809,"Computer Science Department, Kingsbury Hall, University of New Hampshire, Durham, NH, USA",TRUE,Academic Institution
1.97E+02,37342422500,175805,"Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA",TRUE,Academic Institution
1.98E+02,37268052800,175805,"Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA",TRUE,Academic Institution
1.99E+02,38225529300,175805,"Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA",TRUE,Academic Institution
2.00E+02,37389499500,175807,"San Diego Supercomputer Center, Advanced Scientific Visualization Laboratory",FALSE,Private Corporation
2.01E+02,37374054100,175807,"San Diego Supercomputer Center, Advanced Scientific Visualization Laboratory",FALSE,Private Corporation
2.02E+02,38227139100,175812,"University of Stuttgart Computing Center, Stuttgart, Germany",TRUE,Academic Institution
2.03E+02,38227658000,175812,"University of Stuttgart Computing Center, Stuttgart, Germany",TRUE,Academic Institution
2.04E+02,37086990245,175812,"Stuttgart Univ. Comput. Center, Germany",TRUE,Academic Institution
2.05E+02,37284273900,175811,"Lawrence Livemore National Laboratory, Livermore, CA, USA",FALSE,Private Corporation
