Author_ID,Name
37339053800,William A. Barrett
37275249200,Claudio T. Silva
37279493500,Han-Wei Shen
37354028200,Marc A. Najork
37349226400,Marc H. Brown
37390629800,Doug Kimelman
37398650700,Bryan S. Rosenburg
38321886000,Tova Roth
37378372200,Thierry Delmarcelle
37337567000,A. Tal
37356983700,David C. Banks
37651784800,Bart A. Singer
37656565200,Z.C. Zheng
37413765900,Birgit Walter
37333371500,Stephen R. Marschner
37659292200,R.J. Lobb
37652845200,Hai Tao
37654495700,Hui Ma
37298457400,Michael Margaliot
37281769000,Craig Gotsman
37282899200,Chandrajit L. Bajaj
37659236200,A. Royappa
38200470300,Takayuki Itoh
37323013800,Patrick J. Moran
37650681200,Marcus Wagner
37659236800,Steve Linthicum
37659553000,Boris Yamrom
37378333000,John A Sutliff
37659260100,Andrew P Woodfield
37652705000,Cheong S. Ang
37664577600,David C. Martin
37648518000,Michael D. Doyle
37390206400,John S. Rowlan
37660965300,G.E. Lent
37659324500,Nihar Gokhale
37664961300,Shannon Bradshaw
37652123600,Lichan Hong
37275698100,Hanspeter Pfister
37342517100,Bob Spence
37344652100,Lisa Tweedie
37344652800,Huw Dawkes
37351289200,Hua Su
37349630500,W. Wright
37352314100,Klaus Reichenberger
37357591400,Thomas Kamps
37352316100,Gene Golovchinsky
37352125700,P. Luders
37297213900,R. Ernst
37352201100,Dean F. Jerding
37267736900,John Stasko
37343565300,Mei C. Chuah
37357418100,S.F. Roth
37352246000,Joe Mattis
37352245400,John Kolojejchick
37352263600,I.G. Angus
37352265700,H.A. Sowizral
37352198300,Christopher Ahlberg
37352198200,Erik Wistrand
38558074600,Jeromy Carriere
37267671500,Rick Kazman
37358036500,J.A. Wise
37273308900,Jim Thomas
37352135600,Kelly Pennock
37352136200,David Lantrip
37352134600,Marc Pottier
37352142300,Anne Schur
37352143800,Vernon  Crow
37352354300,Vinod Anupam
37352354000,S. Dar
37355534700,Ted Leibfried
37329242700,Eric Petajan
37340122200,Keith Andrews
37352143000,R.J. Hendley
37357792700,N.S. Drew
37349028500,A.M. Wood
37356853400,R. Beale
37341386400,Richard Mitchell
37343297300,David S. Day
37352245200,Lynette Hirschman
37356957100,C.A. Burton
37353729500,L.J. Johnston
37442055100,E.A. Sonenberg
37344059700,Kenneth C. Cox
38147359900,Baining Guo
37269011000,Wolfgang Heidrich
37566635700,Michael McCool
38142306200,John Stevens
37354541000,Joshua LeVasseur
37352200800,Joel Winstead
37352200200,Jonathan Croall
37352199600,Ari Pernick
37346508500,W. Ruh
37282637800,Victoria Interrante
38148010500,David C Richardson
37654961000,W.V. Wright
37267825600,Dinesh Manocha
38147407800,Xiaoyang Mao
37347459100,Lichan Hong
37448030800,E.H.-H. Chi
37610041700,Phillip Barry
37660278300,Elizabeth Shoop
37564789400,John V. Carlis
37660264900,Ernest Retzel
37282873000,John Riedl
37443031900,Insung Ihm
38147536800,Rae Kyoung Lee
37351416000,Craig Wittenbrink
38153178500,M. Suter
37269586000,D. Nuesch
38146973000,Ã¢â‚¬ÂªJohn P. Lee
37271768100,Lawrence D. Bergman
37371567600,Rosane Minghim
37365542800,A.R. Forrest
37855991000,David Koller
37269320000,Peter Lindstrom
37300425000,William Ribarsky
37282880200,Larry Franklin Hodges
37326280000,Nickolas Faust
37343938200,Gregory Turner
37275694700,Markus H. Gross
37355330500,Roger Gatti
37355334600,Oliver Staadt
37282596600,Issei Fujishiro
37348582700,Yuji Maeda
37349040300,Hiroshi Sato
38146488400,Byeong Seok Shin
37366743500,Yeong Gil Shin
37444424000,Rüdiger Westermann
37296980500,Gunter Knittel
38193849400,Pak Chung Wong
38149530100,Mohammad H. Ghavamnia
37087739694,X. D. Yang
38141024500,Rob Ingram
37266159200,Steve Benford
37275032800,Joseph S. B. Mitchell
38144966300,T.A. Wagner
38144223100,D. Dovey
38184873500,John K. Johnstone
37611960100,Kenneth R. Sloan
38147407600,Xiaoyang Mao
38149689900,Allen R. Martin
37371609900,Mihael Ankerst
37275714300,Jurriaan D. Mulder
37353471800,Frank J. Post
37294099300,Theo van Walsum
37282332900,S.K. Ueng
37379767900,K. Sikorski
38146059900,A.A. Muller
38149049900,Nathalie Prevost
37283081100,Ray Jennings
38149049500,Loki Jorgenson
37326146700,Hepting
38152313200,Gianne Derks
37443457300,Kossi D. Edoh
38141764500,Robert D. Russell
38145346300,Monika Hannemann
38152302600,Helmut Sobieczky
38257512300,Neil W. Ashton
37858270000,S.C. Lu
37851790300,A.B. Rebello
37382715500,Richard A. Miller
38138560000,R.E. Gooch
38152307900,Thomas Gerhold
38152247800,Arthur E. Mynett
37372009600,I. Ari Sadarjoen
37658144000,Martin Marietta
38145001600,John Nicols
38053575400,G.W. Oliver
38155998800,Y. Jean
38139234800,T. Kindler
37651400700,Weiming Gu
37267863000,G. Eisenhauer
37268091800,K. Schwan
38152282900,F. Alyea
38139746200,Charles Falkenberg
37399569300,Michelle X. Zhou
37349418300,Alan Keahey
37340580700,Edward L. Robertson
37305539000,Peter Lucas
37349377800,J.A. Senn
37349375500,C.C. Gomberg
37345262200,M.B. Burks
37349338400,P.J. Stroffolino
37349336300,C. Dunmire
37348963800,Dianne Hackborn
37348772800,Mike Pichler
37344785300,Peter Wolf
37349378000,Sougata Mukherjea
37292518200,Kyoji Hirata
37331949400,Yoshinori Hara
37358198200,Christopher D. Shaw
37349401300,A. Zwa
37276377000,Ethan L. Miller
37342992000,D. Aaron Roberts
37358059800,C.L. Bentley
37063827600,Andrew H. Crabb
37357556500,C. Stein
37354963000,Mark Gray
37348960700,Albert N. Badre
37352130100,Mark Guzdial
37349490300,Tamara Munzner
37345372400,Eric Hoffman
37284688500,K. Claffy
37349494400,Bill Fenner
37345749400,Liqun Jin
37349445400,David Rushall
37349438900,Marc R. Ilgen
38558447400,B.C. Vemuri
38562783600,C. Mandal
37282573400,Erwin Keeve
37823485800,S. Girod
37845919000,Paula Pfeifle
37283315200,Bernd Girod
38273141800,Daniel Cohen-Or
38270782200,Y. Levanoni
37368609100,G.-P. Bonneau
37845871800,Paul Tarantino
37845413900,Jonathan Gibbs
37273103500,Jason Wood
37289749900,Shiaofen Fang
37856558400,Su Huang
37301843300,Rajagopalan Srinivasan
37325476100,Raghu Raghavan
37852878400,Luc Beaudoin
37864656600,M.-A. Parent
38180174600,Louis C. Vroomen
37845978600,T. Fruhauf
37283487400,Matthew Chalmers
37612321600,Kiu
37845978200,M. Zockler
37845979400,Detlev Stalling
37282272000,H.-C. Hege ZIB
37367862600,Xin Wang
37326555000,Gill Barequet
37864698600,Daniel Shapiro
38275357700,David Levin
38275743700,Amira Solomovici
37849388600,R.G. Hughes
37282585600,Chris Weigle
37298532100,S.K. Lodha
37852647700,C. M. Wilson
38242145300,R. E. Sheehan
37845670000,Cindy Starr
37860236300,Sandy Johan
37298406100,Christopher G. Healey
38179766700,Walker F. Garrett
37295176000,Mary C. Whitton
37271619700,Reinhard Klein
37860532300,Gunther Liebich
37086996853,Han-Wei Shen
37282553200,Yarden Livnat
37850740800,Julie C. Xia
37861966100,Francine Evans
37390017300,Steven Skiena
37270717100,Raj Shekhar
37860553000,Elias Fayyad
37354614600,J.F. Cornhill
37862094900,David Rossiter
37415393700,Waiyin Ng
37856921200,Chas Williams
37371968700,Jim Durbin
37285510700,Robert Rosenberg
37702966100,Ravi Ramamurti
37860557600,A. Landsberg
37698913400,Alexandra Landsberg
37860460000,Alfredo Remy
37860458900,Orlando Ardito
37860459600,Kim Morla
37860458300,Eduardo Nolasco
37851684300,Jorge Prado
37842810000,Regulo Franco
37861539500,Antonio Murga
37845668700,Guillermo Wiese
37370740500,Karel Zuiderveld
37399434900,P.M.A. van Ooijen
38270067800,John W. C. Chin-A-Woeng
38275060600,Pieter C. Buijs
38273993000,M. Olree
37847101500,Vishram Pandit
38185363300,Robert McDermott
37284107000,Gianluca Lazzi
37266169000,Cynthia Furse
37265915300,Om Gandhi
37372278100,Ed Boring
37365755100,Martin Roth
37282541100,Ronald Peikert
37860424200,M.G. Vicker
37860424800,Peter J. Plath
37851592800,Aaron Trott
37286501600,John Mcginley
37413486600,Jens Trapp
37392147700,John G. Hagedorn
37397136700,John Blendell
37320305100,Mark Vaudin
37385363700,J.S. Painter
37860427300,H.-P. Bunge
37864867900,D H Cui
37860557400,Gary L Kinzel
37855601300,Yingcai Xiao
37619701300,John P. Ziebarth
37860533600,Chuck Woodbury
37853024300,Eric Bayer
37860534800,Bruce Rundell
37355070000,Jeroen van der Zijp
37860455000,Adam B Forgang
37860461300,C.F. Cerco
37849431900,Po-Yu Tsai
37861977200,J. Barlow
37418709500,Jürgen Hesser
37370924200,J.C. Goble
37444948400,Scott Nations
37282571800,Kelly Gaither
37860427600,Steve Aukstakalnis
37299351600,Rhonda Vickery
37860428500,Warren Carl Couvillion Jr.
37741252400,Daniel N. Fox
37850464800,Peter Flynn
37299279700,Alan J. Wallcraft
38226861400,Patrick Hogan
37299280100,O.M. Smedstad
38270960300,Nahum D. Gershon
37357593500,R. Braham
38278125100,D. Fracchia
37271142500,A. Glassner
38277819700,B. Mones-Hattal
38270369600,R. Rose
37374656700,Thomas C Sprenger
37611719000,JÃƒÂ¶rg Finger
37361571100,Teruhiko Teraoka
37274551000,Minoru Maruyama
37282872500,Joseph Konstan
37269712400,S.P. Reiss
37621651000,Tichomir Tenev
37616700600,R. Rao
37268043300,Margaret-Anne D. Storey
37278683200,Kenny Wong
37271730100,Hausi A. Müller
37444609500,Mark Derthick
37611663700,Dominique Brodbeck
37546729500,Aran Lunzer
37611663200,Pamela Cotture
37424458700,Egemen Tanin
37354669000,Richard Beigel
37444594200,Stuart K. Card
37372036700,Jock Mackinlay
37275858700,Torsten Moller
37273119700,Klaus Mueller
37085368197,Thomas Ertl
37267823200,R.C. Tam
37612079700,Borys Flak
37612081300,Peter Cahoon
37372012600,Yingmei Lavin
37610569700,Yuval Levy
37347783300,Ephraim P. Glinert
37613897400,Wenli Cai
37364046500,Dru Clark
37282574800,Gerik Scheuermann
37420744100,Heinz Kruger
38512568600,Martin Menzel
37612158500,Boris Rabinovich
37267813100,Mark Duchaineau
37443252200,Murray Wolinsky
37443253500,David E. Sigeti
38275631100,Charles Aldrich
38277260000,Mark B. Mineev-Weinstein
37086987754,Pak Chung Wong
37086991496,L. De Fioriani
37371970000,Paola Magillo
37355451700,Enrico Puppo
37612084200,Jackie Assa
37409090400,Tova Milo
37267822600,Rainer Wegenkittl
37427428300,Helwig Lo¨ffelmann
37284271200,Eduard M. Groller
37067734000,Yong Zhou
37559619200,Baoquan Chen
37366444500,Il-Hong Jung
37362401700,Junwon Sung
37269516700,Machiraju
37619005500,B. Fry
37284312600,Valerio Pascucci
37355637500,Daniel R. Schikore
37371964800,Eric Wernert
37621721400,J. Freund
37291463600,Martin L. Brady
37360575900,Kenneth K. Jung
38184427400,Thinh Nguyen
37419436600,Guy Albertelli
37413313200,Richard Franke
37295140400,J.E. Swan
37381630700,M. Cox
37282594500,David Ellsworth
37623369100,Cherilyn Michaels
37282600100,Yuriko Takeshima
37618383200,Yoshihiko Ichikawa
37364307400,K. Nakamura
37364793300,Qian Chen
37280043300,GÃ©rard Medioni
37362725400,Yi-Jen Chiang
37371914000,Peter Rander
37298506200,P.J. Narayanan
37283735000,Takeo Kanade
37267249300,Bruno Jobard
37612167300,Wilfrid Lefer
37066475900,Han-Wei Shen
37339406400,David L. Kao
37609292100,M.M. Chow
37273336700,Tzi-Cker Chiueh
37615351500,Chuan-Kai Yang
37273480100,R. Weber
37270561900,Daniel G. Aliaga
37274005100,A.A. Lastra
37277183300,Subodh Kumar
38557137500,Chhandomay Mandal
37276553900,Hong Qin
37612367400,Roberto Grosso
37372245300,Christoph Lürig
37268023800,Thomas Ertl
37612257400,Tran S. Gieng
37267811400,Kenneth I. Joy
37283639900,Greg Schussman
37372274900,Issac J. Trotts
37275763600,Jonathan D. Cohen
37612314200,Marc Olano
38274901700,Jihad El-Sana
37347332000,Chester E Grosch
37611469100,Suya You
37362958300,Ming Wan
37354296000,M. R. Wax
37273115400,Zhengrong Liang
37615709500,Anna Puig
37396861000,Dani Tost
37612266700,Isabel Navazo
37393096300,John T. Foley
37612298500,K. N. Vidimce
37617749600,Patrick Hoffman
37606703800,Kenneth A. Marx
37622312400,I. Grosse
38180962800,E. Stanley
37612261200,M. Shneerson
37282713700,James Ahrens
37282708700,Patrick S. McCormick
37617519400,James Bossert
37621785900,Jon Reisner
37612260000,Judith Winterkamp
37267442100,Anton Fuhrmann
37297103800,Dieter Schmalstieg
37588396600,Richard Lawrence
37340391400,George Almasi
37614584100,J. Marti
37617709900,Dan Drake
37608356300,Thomas Simpson
37612252200,Larry Smithmier
37619552000,J.J. Loomis
37367390500,Xiuwen Liu
37615115900,Zhaohua Ding
38231429900,Kikuo Fujimura
37614269500,M.L. Evans
37615793800,Hideo Ishikawa
38183525100,Taylor
38272881700,Jun Chen
38277471700,S. Okimoto
38270707400,Noel Llopis-artime
37623416900,Vernon L. Chi
37305862000,M. Falvo
37447873500,Scott Paulson
37620455200,David  Glick
37271671300,Sean Washburn
37271669900,Richard Superfine
37300434300,Mark A. Livingston
37612264300,Sven Kuschfeldt
